epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,418.924,1.65248,3.08722,0.97365,0.32829,0.2643,0.17866,0.08141,1.65787,2.05814,1.02072,0.000663704,0.000663704,0.000663704
2,846.245,1.81098,1.79262,1.02673,0.47293,0.27093,0.25902,0.13147,1.75718,1.48518,1.0562,0.00127769,0.00127769,0.00127769
3,1307.61,1.87164,1.7905,1.05416,0.44704,0.25415,0.24251,0.12876,1.77661,1.67699,1.07591,0.00183887,0.00183887,0.00183887
4,1763.81,1.87807,1.63841,1.06585,0.45565,0.25432,0.24293,0.13179,1.76663,1.51062,1.05393,0.0017624,0.0017624,0.0017624
5,2197.96,1.76391,1.45213,1.04245,0.50918,0.28341,0.28516,0.15194,1.70316,1.40306,1.03916,0.0016832,0.0016832,0.0016832
6,2650.51,1.75584,1.49547,1.03676,0.53667,0.29483,0.30106,0.16209,1.61711,1.40268,1.01982,0.001604,0.001604,0.001604
7,3108.99,1.69596,1.41018,1.02516,0.54678,0.28376,0.29049,0.16515,1.5778,1.3279,1.02133,0.0015248,0.0015248,0.0015248
8,3566.05,1.62809,1.39157,1.00562,0.54109,0.31278,0.30927,0.17307,1.54781,1.27497,1.01229,0.0014456,0.0014456,0.0014456
9,4023.8,1.61974,1.37434,1.00181,0.55286,0.321,0.33025,0.19042,1.49423,1.25869,0.99382,0.0013664,0.0013664,0.0013664
10,4449.88,1.55432,1.31048,1.00019,0.58228,0.31441,0.32991,0.18481,1.5207,1.24425,1.00152,0.0012872,0.0012872,0.0012872
11,4910.12,1.54378,1.2128,0.97175,0.57278,0.32495,0.34042,0.1972,1.48431,1.20545,0.99023,0.001208,0.001208,0.001208
12,5368.06,1.53272,1.26574,0.98193,0.5724,0.33317,0.34565,0.19533,1.4619,1.20249,0.98031,0.0011288,0.0011288,0.0011288
13,5828.03,1.50691,1.20898,0.96124,0.58533,0.33459,0.34826,0.20659,1.42199,1.20376,0.97498,0.0010496,0.0010496,0.0010496
14,6285.86,1.46008,1.15916,0.94125,0.58054,0.32947,0.34911,0.19613,1.4849,1.16877,0.97789,0.0009704,0.0009704,0.0009704
15,6741.37,1.43803,1.1012,0.9428,0.60135,0.34742,0.3706,0.21741,1.42117,1.13426,0.96637,0.0008912,0.0008912,0.0008912
16,7194.87,1.46319,1.12714,0.92971,0.55936,0.33627,0.34114,0.20963,1.39004,1.16506,0.96888,0.000812,0.000812,0.000812
17,7648.72,1.41713,1.13436,0.93995,0.58758,0.3361,0.35381,0.21375,1.40017,1.11491,0.96545,0.0007328,0.0007328,0.0007328
18,8101.52,1.40509,1.16106,0.94075,0.60127,0.34164,0.36372,0.2158,1.40988,1.10854,0.96347,0.0006536,0.0006536,0.0006536
19,8555.16,1.40573,1.09189,0.92275,0.60688,0.34575,0.36911,0.21746,1.38595,1.08919,0.95713,0.0005744,0.0005744,0.0005744
20,9009.03,1.36165,1.02029,0.92683,0.60289,0.34944,0.37199,0.22604,1.36515,1.06207,0.95426,0.0004952,0.0004952,0.0004952
21,9462.26,1.34077,1.06255,0.91505,0.61825,0.35441,0.37994,0.22944,1.34344,1.0525,0.94774,0.000416,0.000416,0.000416
22,9915.78,1.33139,0.97595,0.90256,0.62354,0.35632,0.38431,0.23048,1.33778,1.03331,0.94584,0.0003368,0.0003368,0.0003368
23,10369.3,1.32645,0.99386,0.90205,0.61717,0.35967,0.38203,0.23179,1.32492,1.02464,0.94554,0.0002576,0.0002576,0.0002576
24,10823.5,1.30464,0.96188,0.89306,0.6347,0.36135,0.39212,0.23756,1.31303,1.01911,0.94132,0.0001784,0.0001784,0.0001784
25,11288.7,1.29056,0.93721,0.89776,0.63447,0.36122,0.39215,0.24051,1.30187,1.01229,0.93984,9.92e-05,9.92e-05,9.92e-05
